target,role,tier,stat,mlbam_id,name,age,prior_pa,target_pa,pred,actual,q10,q90
2021,H,tier3,woba,643393,Tony Kemp,29.0,113.0,393.0,0.27473277894993375,0.35135623409669214,0.25049614778113066,0.3012871771386505
2021,H,tier3,woba,572287,Mike Zunino,30.0,84.0,375.0,0.2826221527085519,0.35857333333333336,0.24949769922311976,0.3186307096968868
2021,H,tier3,woba,621550,Patrick Wisdom,29.0,2.0,373.0,0.27101552905899134,0.34639410187667563,0.22642296374913956,0.3193948432509848
2021,H,tier3,woba,573131,Darin Ruf,34.0,100.0,310.0,0.3116084726817893,0.38441290322580646,0.27415361376890024,0.35018436186559737
2021,H,tier3,woba,642086,Dominic Smith,26.0,199.0,491.0,0.3614064833450841,0.2907067209775967,0.3227092756885668,0.4015461827489399
2021,H,tier3,woba,673357,Luis Robert Jr.,23.0,225.0,295.0,0.3285595479501125,0.3989559322033898,0.2937068527162313,0.36743984404923097
2021,H,tier3,woba,493329,Yuli Gurriel,37.0,230.0,603.0,0.29490957988816613,0.3632769485903815,0.2662293303196042,0.3255490223322098
2021,H,tier3,woba,664761,Alec Bohm,24.0,180.0,417.0,0.3525347077692674,0.28504316546762587,0.31713024719802296,0.3913654017069184
2021,H,tier3,woba,669289,Santiago Espinal,26.0,65.0,245.0,0.27713700933382507,0.34392244897959184,0.2450730196236518,0.30762933569381196
2021,H,tier3,woba,457763,Buster Posey,34.0,0.0,449.0,0.31230962448386357,0.37894654788418713,0.28187672718480616,0.3450141457255741
2021,H,tier3,woba,621311,David Dahl,27.0,99.0,219.0,0.3127749170424609,0.2463196347031963,0.280727336672361,0.34514480281298354
2021,H,tier3,woba,621439,Byron Buxton,27.0,135.0,254.0,0.35334450376296034,0.4188858267716536,0.3164230819581034,0.3941233589928706
2021,H,tier3,woba,640449,Clint Frazier,26.0,160.0,218.0,0.35478369602501014,0.2894633027522936,0.3208047147365498,0.390310833268302
2021,H,tier3,woba,606992,Eric Haase,28.0,19.0,381.0,0.25308907456200275,0.31626246719160106,0.21541034113001487,0.29520856297820935
2021,H,tier3,woba,606213,Yermín Mercedes,28.0,1.0,261.0,0.25442846614070724,0.31745977011494264,0.21040419598357266,0.3013748569312228
2021,H,tier3,woba,621453,Steven Duggar,27.0,36.0,294.0,0.26436846697870364,0.3273945578231293,0.23946213904667432,0.2909785301617434
2021,H,tier3,woba,553993,Eugenio Suárez,29.0,230.0,574.0,0.36866381825498945,0.30617595818815335,0.334238036437883,0.4041209640823692
2021,H,tier3,woba,641343,Jake Bauers,25.0,0.0,313.0,0.3191859745732354,0.2569520766773163,0.2845774250618107,0.35581517083104225
2021,H,tier3,woba,444876,Alcides Escobar,34.0,0.0,347.0,0.26348851046708727,0.32461959654178685,0.23586527249897782,0.2912729399619308
2021,H,tier3,woba,592885,Christian Yelich,29.0,245.0,470.0,0.38512237116087467,0.324668085106383,0.34994212721272905,0.41943582930956347
2021,H,tier3,woba,543685,Anthony Rendon,31.0,230.0,247.0,0.369069985893225,0.3101255060728745,0.33646900609799585,0.4043669823437477
2021,H,tier3,woba,623520,David Bote,28.0,145.0,326.0,0.3266111519062479,0.26781595092024535,0.29694346044279435,0.3595937269871948
2021,H,tier3,woba,656941,Kyle Schwarber,28.0,223.0,470.0,0.33354828237806944,0.39169148936170206,0.29844779849341263,0.36645618699225035
2021,H,tier3,woba,605421,Michael Pérez,28.0,93.0,230.0,0.2827995382565823,0.22503913043478257,0.25190780543911134,0.3159798409956446
2021,H,tier3,woba,660821,Jesús Sánchez,23.0,29.0,248.0,0.2818258331558723,0.3391411290322581,0.23975720797149888,0.3265326456624101
2021,H,tier3,woba,664238,Dylan Moore,28.0,159.0,377.0,0.32842262335514827,0.27112732095490716,0.29526160444525973,0.36342787934297527
2021,H,tier3,woba,660271,Shohei Ohtani,26.0,175.0,619.0,0.3372126755823361,0.3935702746365105,0.30424793350000645,0.37163143628105477
2021,P,marcel,fip,665152,Dean Kremer,25.0,83.0,245.0,4.089671357133988,7.039399418307641,,
2021,P,marcel,fip,669203,Corbin Burnes,26.0,240.0,656.0,3.7902754263926837,1.6806014862215028,,
2021,P,marcel,fip,543521,Collin McHugh,34.0,0.0,244.0,4.138724595243264,2.0788986419101256,,
2021,P,marcel,fip,592644,Adam Plutko,29.0,115.0,253.0,5.079311033530891,7.124849085697108,,
2021,P,marcel,fip,661403,Emmanuel Clase,23.0,0.0,275.0,4.069802492094621,2.028136082101513,,
2021,P,marcel,fip,518886,Craig Kimbrel,33.0,68.0,234.0,4.425474476827182,2.4318141447034214,,
2021,P,marcel,fip,502171,Alex Cobb,33.0,226.0,392.0,4.889139280299295,2.973095070481554,,
2021,P,marcel,fip,623352,Josh Hader,27.0,78.0,224.0,3.587934946659815,1.7365690964555804,,
