tier,role,target,stat,age_bucket,pt_bucket,history_bucket,n,mean_error,rmse,cov80
marcel,H,2022,bb_pct,25-27,150-400,3+,23,0.01753158409757815,0.02658248165547403,
marcel,H,2022,bb_pct,25-27,<150,1,9,0.007538487377884896,0.016966370289371605,
marcel,H,2022,bb_pct,25-27,<150,2,3,-0.0004341005036356113,0.011764505836337208,
marcel,H,2022,bb_pct,25-27,<150,3+,6,0.010218166548123027,0.019793789390308174,
marcel,H,2022,bb_pct,25-27,>400,1,1,0.03670670578542379,0.03670670578542379,
marcel,H,2022,bb_pct,25-27,>400,2,4,0.009464535986384973,0.02174240461827144,
marcel,H,2022,bb_pct,25-27,>400,3+,40,0.006307606055071625,0.018327993405309797,
marcel,H,2022,bb_pct,28-30,150-400,2,4,0.0054461524819320066,0.016266420129321647,
marcel,H,2022,bb_pct,28-30,150-400,3+,29,0.0006804941889067374,0.0194339147968277,
marcel,H,2022,bb_pct,28-30,<150,1,1,-0.01297737661026492,0.01297737661026492,
marcel,H,2022,bb_pct,28-30,<150,2,2,-0.011580975157161175,0.01283347937489002,
marcel,H,2022,bb_pct,28-30,<150,3+,5,0.0165850340978244,0.02736499598633886,
marcel,H,2022,bb_pct,28-30,>400,2,3,-0.006256971615250403,0.010268941733068748,
marcel,H,2022,bb_pct,28-30,>400,3+,52,0.0036692008929039635,0.01957801691870078,
marcel,H,2022,bb_pct,31-33,150-400,2,2,-0.010482675801231536,0.024173259605815824,
marcel,H,2022,bb_pct,31-33,150-400,3+,22,0.011816647658233093,0.022353843438051576,
marcel,H,2022,bb_pct,31-33,<150,1,2,-0.018086927862853534,0.01987879611340975,
marcel,H,2022,bb_pct,31-33,<150,2,1,-0.01311893634920859,0.01311893634920859,
marcel,H,2022,bb_pct,31-33,<150,3+,1,-0.008490862519187542,0.008490862519187542,
marcel,H,2022,bb_pct,31-33,>400,2,2,0.008811788050874807,0.009491331080460092,
marcel,H,2022,bb_pct,31-33,>400,3+,38,0.004334663271933647,0.01869559229848421,
marcel,H,2022,bb_pct,<=24,150-400,1,2,0.01895750326547886,0.01990761782693619,
marcel,H,2022,bb_pct,<=24,150-400,2,7,0.009345363384697394,0.021402481653767142,
marcel,H,2022,bb_pct,<=24,150-400,3+,2,0.013478362174273756,0.021037007669823055,
marcel,H,2022,bb_pct,<=24,<150,1,6,-0.005994366571063638,0.025305278224896186,
marcel,H,2022,bb_pct,<=24,<150,2,4,0.0071036666062812715,0.022430035730437285,
marcel,H,2022,bb_pct,<=24,>400,1,2,0.020387312406439168,0.02873555607743579,
marcel,H,2022,bb_pct,<=24,>400,2,2,-0.004644726154185747,0.006807219767859005,
marcel,H,2022,bb_pct,<=24,>400,3+,3,0.002325596087820998,0.023427479852057224,
marcel,H,2022,bb_pct,>=34,150-400,2,2,0.00846985638465291,0.011836048872509665,
marcel,H,2022,bb_pct,>=34,150-400,3+,6,0.01055811446461151,0.022049362757481268,
marcel,H,2022,bb_pct,>=34,<150,3+,1,0.005322676133017651,0.005322676133017651,
marcel,H,2022,bb_pct,>=34,>400,3+,20,0.008313757922233694,0.020710045972039865,
marcel,H,2023,bb_pct,25-27,150-400,1,5,0.0003754232371884444,0.017341530402438438,
marcel,H,2023,bb_pct,25-27,150-400,2,16,0.0011785961292472493,0.01597150012246213,
marcel,H,2023,bb_pct,25-27,150-400,3+,12,-0.0002369516049269847,0.020497301016134853,
marcel,H,2023,bb_pct,25-27,<150,1,10,-0.011460660578948529,0.028475908567697657,
marcel,H,2023,bb_pct,25-27,<150,2,5,0.00037073676981689055,0.026774690454678556,
marcel,H,2023,bb_pct,25-27,<150,3+,1,0.04733537874154499,0.04733537874154499,
marcel,H,2023,bb_pct,25-27,>400,1,5,0.0031582206593124954,0.015229617788368401,
marcel,H,2023,bb_pct,25-27,>400,2,8,-0.012580928252904659,0.02514638445398545,
marcel,H,2023,bb_pct,25-27,>400,3+,24,-0.00047308661182345535,0.021604962708155737,
marcel,H,2023,bb_pct,28-30,150-400,3+,28,0.001814091865768947,0.020076822361391265,
marcel,H,2023,bb_pct,28-30,<150,1,3,-0.00394096030578143,0.022400798313656316,
marcel,H,2023,bb_pct,28-30,<150,2,4,0.0008585964780913023,0.007193686028572084,
marcel,H,2023,bb_pct,28-30,<150,3+,4,0.0007354080381594763,0.021953885080212104,
marcel,H,2023,bb_pct,28-30,>400,1,1,-0.011023786349162873,0.011023786349162873,
